TAID,Pubchem CID,IUPAC Name,SMILES,Canonical_SMILES,InChIKey,rat_intravenous_LD50
TOX-3990,178,acetamide,CC(N)=O,CC(N)=O,DLFVBJFMPXGRIB-UHFFFAOYSA-N,0.674442253
TOX-2407,180,propan-2-one,CC(C)=O,CC(C)=O,CSCPPACGZOOCGX-UHFFFAOYSA-N,1.023663918
TOX-8193,12025,pyrrolidin-2-one,O=C1CCCN1,O=C1CCCN1,HNJBEVLQSNELDL-UHFFFAOYSA-N,1.072627683
TOX-4318,1030,"propane-1,2-diol",CC(O)CO,CC(O)CO,DNIAPMSPPWPWGF-UHFFFAOYSA-N,1.073618199
TOX-8477,99937,"2,3,3a,5,6,6a-hexahydrofuro[3,2-b]furan-3,6-diol",OC1COC2C(O)COC12,OC1COC2C(O)COC12,KLDXJTOLSGUMSJ-UHFFFAOYSA-N,1.123382361
TOX-4845,827,"pentane-1,2,3,4,5-pentol",OCC(O)C(O)C(O)CO,OCC(O)C(O)C(O)CO,HEBKCHPVOIAQTA-UHFFFAOYSA-N,1.148836784
TOX-73643,3426,"2-(hydroxymethyl)oxane-2,3,4,5-tetrol",OCC1(O)OCC(O)C(O)C1O,OCC1(O)OCC(O)C(O)C1O,LKDRXBCSQODPBY-UHFFFAOYSA-N,1.150138546
TOX-4430,887,methanol,CO,CO,OKKJLVBELUTLKV-UHFFFAOYSA-N,1.177136166
TOX-75527,4626,2-(4-hydroxy-2-oxopyrrolidin-1-yl)acetamide,NC(=O)CN1CC(O)CC1=O,NC(=O)CN1CC(O)CC1=O,IHLAQQPQKRMGSS-UHFFFAOYSA-N,1.199088418
TOX-5776,8117,2-(2-hydroxyethoxy)ethanol,OCCOCCO,OCCOCCO,MTHSVFCYNBDYFN-UHFFFAOYSA-N,1.208566603
TOX-5567,1123,2-aminoethanesulfonic acid,NCCS(=O)(=O)O,NCCS(=O)(=O)O,XOAAWQZATWQOTB-UHFFFAOYSA-N,1.252329344
TOX-71432,3074532,"5-[acetyl(2,3-dihydroxypropyl)amino]-3-N-(2,3-dihydroxypropyl)-3-N-(2-hydroxyethyl)-2,4,6-triiodobenzene-1,3-dicarboxamide",CC(=O)N(CC(O)CO)c1c(I)c(C(N)=O)c(I)c(C(=O)N(CCO)CC(O)CO)c1I,CC(=O)N(CC(O)CO)c1c(I)c(C(N)=O)c(I)c(C(=O)N(CCO)CC(O)CO)c1I,ZZLFKLSBHDFNDU-UHFFFAOYSA-N,1.278103564
TOX-1989,119,4-aminobutanoic acid,NCCCC(=O)O,NCCCC(=O)O,BTCSSZJGUNDROE-UHFFFAOYSA-N,1.314377112
TOX-4455,6263,1-ethylsulfinylethane,CCS(=O)CC,CCS(=O)CC,CCAFPWNGIUBUSD-UHFFFAOYSA-N,1.327983075
TOX-5595,7900,1-methoxypropan-2-ol,COCC(C)O,COCC(C)O,ARXJGSRGQADJSQ-UHFFFAOYSA-N,1.331581531
TOX-2033,294,"2-(hydroxymethyl)-6-[4,5,6-trihydroxy-2-(hydroxymethyl)oxan-3-yl]oxyoxane-3,4,5-triol",OCC1OC(OC2C(CO)OC(O)C(O)C2O)C(O)C(O)C1O,OCC1OC(OC2C(CO)OC(O)C(O)C2O)C(O)C(O)C1O,GUBGYTABKSRVRQ-UHFFFAOYSA-N,1.349711662
TOX-5532,7823,"hexane-1,2,6-triol",OCCCCC(O)CO,OCCCCC(O)CO,ZWVMLYRJXORSEP-UHFFFAOYSA-N,1.379483577
TOX-4501,6342,acetonitrile,CC#N,CC#N,WEVYAHXRMPXWCK-UHFFFAOYSA-N,1.388035618
TOX-3928,3872,"2-[4,5-dihydroxy-2,5-bis(hydroxymethyl)oxolan-3-yl]oxy-6-(hydroxymethyl)oxane-3,4,5-triol",OCC1OC(OC2C(CO)OC(O)(CO)C2O)C(O)C(O)C1O,OCC1OC(OC2C(CO)OC(O)(CO)C2O)C(O)C(O)C1O,JCQLYHFGKNRPGE-UHFFFAOYSA-N,1.404069324
TOX-58993,95255,[3-(diethylamino)phenyl] N-phenylcarbamate,CCN(CC)c1cccc(OC(=O)Nc2ccccc2)c1,CCN(CC)c1cccc(OC(=O)Nc2ccccc2)c1,AOKVQWYUEJOJHX-UHFFFAOYSA-N,1.453866978
TOX-6018,8479,4-aminobenzenesulfonic acid,Nc1ccc(S(=O)(=O)O)cc1,Nc1ccc(S(=O)(=O)O)cc1,HVBSAKJJOYLTQU-UHFFFAOYSA-N,1.460379085
TOX-2714,750,2-aminoacetic acid,NCC(=O)O,NCC(=O)O,DHMQDGOQFOQNFH-UHFFFAOYSA-N,1.460475712
TOX-6432,5320,N-(4-aminophenyl)sulfonylacetamide,CC(=O)NS(=O)(=O)c1ccc(N)cc1,CC(=O)NS(=O)(=O)c1ccc(N)cc1,SKIVFJLNDNKQPD-UHFFFAOYSA-N,1.511368787
TOX-2097,31374,"N,N-dimethylacetamide",CC(=O)N(C)C,CC(=O)N(C)C,FXHOOIRPVKKKFG-UHFFFAOYSA-N,1.51852391
TOX-5796,8146,2-(2-ethoxyethoxy)ethanol,CCOCCOCCO,CCOCCOCCO,XXJWXESWEXIICW-UHFFFAOYSA-N,1.525611613
TOX-76497,49652,"2-[[2,4,6-triiodo-3-[(2-methoxyacetyl)amino]-5-(methylcarbamoyl)benzoyl]amino]acetic acid",CNC(=O)c1c(I)c(NC(=O)COC)c(I)c(C(=O)NCC(=O)O)c1I,CNC(=O)c1c(I)c(NC(=O)COC)c(I)c(C(=O)NCC(=O)O)c1I,ZUOGOXJIROUOFD-UHFFFAOYSA-N,1.544683686
TOX-39442,42981,1-dodecylazepan-2-one,CCCCCCCCCCCCN1CCCCCC1=O,CCCCCCCCCCCCN1CCCCCC1=O,AXTGDCSMTYGJND-UHFFFAOYSA-N,1.546363727
TOX-3923,3734,"1-N,3-N-bis(1,3-dihydroxypropan-2-yl)-5-(2-hydroxypropanoylamino)-2,4,6-triiodobenzene-1,3-dicarboxamide",CC(O)C(=O)Nc1c(I)c(C(=O)NC(CO)CO)c(I)c(C(=O)NC(CO)CO)c1I,CC(O)C(=O)Nc1c(I)c(C(=O)NC(CO)CO)c(I)c(C(=O)NC(CO)CO)c1I,XQZXYNRDCRIARQ-UHFFFAOYSA-N,1.5471798
TOX-18192,83359,ethyl 2-[methyl(nitroso)amino]acetate,CCOC(=O)CN(C)N=O,CCOC(=O)CN(C)N=O,IIGUXNQRQSATOU-UHFFFAOYSA-N,1.562726942
TOX-4437,6228,"N,N-dimethylformamide",CN(C)C=O,CN(C)C=O,ZMXDDKWLCZADIW-UHFFFAOYSA-N,1.562857675
TOX-39539,3768,"3,4,5-trihydroxy-6-[2-(pyridine-4-carbonyl)hydrazinyl]oxane-2-carboxylic acid",O=C(NNC1OC(C(=O)O)C(O)C(O)C1O)c1ccncc1,O=C(NNC1OC(C(=O)O)C(O)C(O)C1O)c1ccncc1,QVJOLLPKYFYTIH-UHFFFAOYSA-N,1.56460798
TOX-78095,56016,,COCC(O)CN(C(C)=O)c1c(I)c(C(=O)NCC(O)CO)c(I)c(C(=O)NCC(O)CO)c1I,COCC(O)CN(C(C)=O)c1c(I)c(C(=O)NCC(O)CO)c(I)c(C(=O)NCC(O)CO)c1I,IUNJANQVIJDFTQ-UHFFFAOYSA-N,1.568184564
TOX-76494,49649,"2-[(3-acetamido-5-carbamoyl-2,4,6-triiodobenzoyl)amino]acetic acid",CC(=O)Nc1c(I)c(C(N)=O)c(I)c(C(=O)NCC(=O)O)c1I,CC(=O)Nc1c(I)c(C(N)=O)c(I)c(C(=O)NCC(=O)O)c1I,JEEBABYLDYQJPC-UHFFFAOYSA-N,1.574487657
TOX-1716,8076,2-ethoxyethanol,CCOCCO,CCOCCO,ZNQVEEAIQZEUHB-UHFFFAOYSA-N,1.574619579
TOX-76495,49650,"2-[[3-acetamido-2,4,6-triiodo-5-(methylcarbamoyl)benzoyl]amino]acetic acid",CNC(=O)c1c(I)c(NC(C)=O)c(I)c(C(=O)NCC(=O)O)c1I,CNC(=O)c1c(I)c(NC(C)=O)c(I)c(C(=O)NCC(=O)O)c1I,KOLFHGBWHDCIHT-UHFFFAOYSA-N,1.583663112
TOX-38411,21427274,"3-hydroxy-2-[[2,4,6-triiodo-3-[(2-methoxyacetyl)amino]-5-(methylcarbamoyl)benzoyl]amino]propanoic acid",CNC(=O)c1c(I)c(NC(=O)COC)c(I)c(C(=O)NC(CO)C(=O)O)c1I,CNC(=O)c1c(I)c(NC(=O)COC)c(I)c(C(=O)NC(CO)C(=O)O)c1I,CRBYEHQWEFNKNA-UHFFFAOYSA-N,1.596756937
TOX-1744,564,6-aminohexanoic acid,NCCCCCC(=O)O,NCCCCCC(=O)O,SLXKOJJOQWFEFD-UHFFFAOYSA-N,1.599337133
TOX-3125,5677,"5-(1,3-dihydroxypropan-2-ylamino)-1-(hydroxymethyl)cyclohexane-1,2,3,4-tetrol",OCC(CO)NC1CC(O)(CO)C(O)C(O)C1O,OCC(CO)NC1CC(O)(CO)C(O)C(O)C1O,FZNCGRZWXLXZSZ-UHFFFAOYSA-N,1.627622663
TOX-38409,42367,"3-[[3-carbamoyl-2,4,6-triiodo-5-[(2-methoxyacetyl)amino]benzoyl]amino]propanoic acid",COCC(=O)Nc1c(I)c(C(N)=O)c(I)c(C(=O)NCCC(=O)O)c1I,COCC(=O)Nc1c(I)c(C(N)=O)c(I)c(C(=O)NCCC(=O)O)c1I,FJAOSUKULWWOPX-UHFFFAOYSA-N,1.641593699
TOX-2078,2528,"3-acetamido-5-[acetyl(methyl)amino]-2,4,6-triiodobenzoic acid",CC(=O)Nc1c(I)c(C(=O)O)c(I)c(N(C)C(C)=O)c1I,CC(=O)Nc1c(I)c(C(=O)O)c(I)c(N(C)C(C)=O)c1I,GGGDNPWHMNJRFN-UHFFFAOYSA-N,1.642583494
